idade,tempo_associado_anos,renda_mensal,valor_operacao,prazo_meses,comprometimento_renda,score_bureau,atrasos_12m,possui_garantia,canal_digital,qtd_operacoes_ativas,risco_alto
45.7,5.56,2322.29,39617.44,45,0.371,407.0,0,0,1,2,0
29.5,4.35,2788.87,2223.26,42,0.019,713.0,0,0,0,2,0
51.0,1.98,4443.04,27812.89,35,0.174,605.0,0,1,0,0,0
53.3,19.81,2113.32,3320.53,38,0.04,743.0,0,0,1,3,0
18.6,6.23,4996.95,4876.07,7,0.122,708.0,1,0,0,1,0
26.4,3.62,10649.18,13430.09,14,0.084,608.0,0,0,1,3,0
43.5,7.83,3184.23,24585.16,64,0.119,773.0,0,0,1,2,0
38.2,0.88,1572.75,2869.18,34,0.052,675.0,1,1,1,1,0
41.8,2.09,1572.45,5108.75,72,0.045,670.0,1,1,0,2,0
31.8,1.11,5049.84,8846.51,36,0.047,633.0,0,1,0,3,0
52.6,1.18,3187.97,6851.83,83,0.026,852.0,0,0,1,4,0
51.3,7.55,5336.14,17476.79,20,0.156,564.0,2,0,1,2,0
42.8,3.16,2456.52,178498.39,20,1.5,611.0,0,1,1,2,1
55.5,4.1,5202.23,11818.11,51,0.044,502.0,0,1,0,1,0
47.6,1.86,3019.77,4181.07,68,0.02,737.0,0,0,0,2,0
31.7,0.66,2202.0,2522.84,17,0.064,580.0,0,0,0,4,0
46.4,1.51,2642.42,6046.72,45,0.05,594.0,0,1,0,1,0
30.5,1.56,1705.51,3476.48,23,0.085,588.0,2,1,0,0,0
52.5,4.71,9839.38,12342.39,63,0.02,658.0,3,0,0,6,0
41.4,6.51,3124.38,12171.1,49,0.078,500.0,0,0,0,3,0
39.8,20.88,4696.08,5340.9,57,0.02,381.0,0,1,1,6,0
33.8,11.16,2452.15,48361.51,26,0.73,705.0,1,1,0,5,1
56.7,22.84,1847.22,4180.13,28,0.078,396.0,0,0,1,0,0
40.1,7.73,2896.81,7277.28,55,0.045,752.0,0,0,1,3,0
36.9,0.1,6036.96,14403.79,33,0.07,837.0,1,0,1,0,0
37.8,0.58,2474.01,18085.2,59,0.122,630.0,1,1,1,2,1
48.4,4.53,2041.03,25586.47,18,0.66,806.0,1,1,0,2,1
46.4,3.46,3588.56,11916.11,29,0.111,647.0,1,0,1,1,0
47.0,1.25,4334.94,20864.85,13,0.344,842.0,0,0,1,3,0
47.2,1.3,8132.04,4453.31,12,0.042,595.0,4,1,0,3,0
67.7,6.75,4002.05,18513.84,26,0.171,366.0,0,0,0,3,0
37.1,2.22,4694.73,18292.68,44,0.087,640.0,0,0,1,3,0
35.9,6.92,4893.2,31621.67,17,0.359,855.0,4,0,1,2,1
32.2,6.22,1747.33,1805.17,13,0.074,714.0,0,0,1,1,0
49.4,2.57,1939.46,3581.49,74,0.025,588.0,0,1,0,1,0
55.5,3.9,1815.03,16997.59,46,0.199,689.0,0,0,1,2,0
40.6,1.89,1583.38,745.29,61,0.01,767.0,1,1,0,4,0
31.9,4.75,5102.59,12617.07,62,0.039,640.0,2,1,1,1,0
32.1,13.12,3864.27,21032.5,13,0.389,965.0,1,0,0,4,0
49.8,7.51,3441.71,4823.53,54,0.025,588.0,1,1,1,0,0
50.9,5.01,1400.0,5501.79,73,0.053,770.0,0,0,1,3,0
48.5,6.93,10203.77,3081.82,40,0.01,741.0,0,1,1,4,0
34.0,2.73,2014.55,5067.52,73,0.034,566.0,0,0,1,2,0
44.8,2.7,10183.22,5201.43,79,0.01,599.0,3,1,0,1,0
43.4,0.75,1484.62,4382.8,48,0.06,772.0,1,0,0,4,0
44.6,2.43,2107.33,4171.74,13,0.141,667.0,0,0,1,0,0
52.5,3.95,1400.0,6349.27,54,0.082,691.0,3,0,0,1,0
44.7,2.14,4020.53,6280.51,74,0.021,454.0,0,0,1,3,0
50.1,0.33,1797.78,43770.65,51,0.468,729.0,0,0,0,1,0
42.8,0.23,1825.94,5682.99,68,0.045,684.0,0,0,1,2,0
45.5,1.79,1548.62,11045.02,47,0.149,642.0,1,0,1,1,0
49.6,1.19,5052.03,4821.33,38,0.024,693.0,0,0,1,2,0
24.5,3.1,4872.22,4766.48,79,0.012,601.0,0,1,1,1,0
38.2,4.57,8925.06,1747.72,17,0.011,579.0,1,0,0,0,0
36.4,4.46,2259.42,1969.96,40,0.021,621.0,0,0,1,4,1
34.3,1.04,3715.81,2734.49,18,0.039,594.0,0,1,1,2,0
38.7,7.49,1621.11,9559.85,57,0.102,912.0,1,1,0,3,0
59.9,11.92,2740.04,21344.65,77,0.1,759.0,0,0,1,1,0
31.6,4.74,2476.58,1622.95,83,0.01,534.0,0,0,1,1,0
53.6,3.99,4253.29,4943.51,24,0.046,894.0,2,0,0,2,0
21.8,1.07,5763.86,2367.99,62,0.01,598.0,1,0,1,0,0
38.0,0.14,5682.16,6387.83,74,0.015,654.0,0,1,0,0,0
44.0,6.73,2072.38,21336.89,71,0.143,758.0,0,0,0,1,0
49.0,12.88,5705.34,5419.75,45,0.021,414.0,1,1,1,1,0
50.5,15.04,3215.55,7763.86,19,0.121,622.0,0,1,1,2,0
51.5,0.27,2755.82,30022.6,42,0.253,581.0,1,1,1,0,0
37.8,5.56,2231.25,12235.67,66,0.082,675.0,1,0,1,4,0
36.5,3.14,2421.24,4088.43,54,0.031,694.0,0,1,0,2,0
52.3,0.1,8589.3,9348.99,36,0.029,641.0,0,1,0,6,0
39.7,2.54,3901.34,3847.6,22,0.043,635.0,2,1,1,3,1
26.7,1.41,3626.55,11830.47,56,0.057,778.0,0,0,0,3,0
28.4,3.72,2851.97,12884.83,39,0.113,686.0,1,0,1,1,0
31.0,5.6,12648.43,2367.42,42,0.01,655.0,1,0,0,3,0
48.0,3.68,6753.09,9486.59,79,0.018,668.0,1,0,1,4,1
43.7,4.72,2215.9,7289.46,6,0.47,870.0,0,1,0,2,0
50.3,4.54,2834.19,13229.57,24,0.187,671.0,1,1,1,5,0
36.9,0.1,2928.27,17123.59,77,0.075,588.0,0,0,1,0,0
43.9,16.96,3569.67,12452.85,77,0.045,421.0,1,0,1,0,1
49.5,7.79,2240.21,6167.98,29,0.092,478.0,1,0,0,3,0
38.3,0.14,4193.74,18769.66,83,0.053,594.0,1,1,0,1,0
47.5,1.26,7322.07,3693.18,22,0.022,637.0,1,1,0,2,0
34.1,1.33,1599.59,2468.91,10,0.14,583.0,0,0,1,3,0
37.6,0.59,1771.39,500.0,29,0.01,692.0,2,0,0,2,1
37.4,0.39,2525.67,7607.37,47,0.063,582.0,0,1,1,1,0
27.6,3.46,2590.9,3868.45,6,0.213,540.0,1,1,0,3,0
47.8,0.58,9888.78,11590.94,19,0.059,724.0,1,1,1,3,0
36.4,7.03,5715.52,1374.57,67,0.01,814.0,0,0,0,2,0
42.1,3.48,5537.94,4525.75,54,0.015,517.0,2,0,0,3,0
